<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.10.26	20:00:00	1.15870	1.15998	1.15866	1.15969	3055	0	50
2021.10.26	22:00:00	1.15969	1.16007	1.15952	1.15957	1986	0	4
2021.10.27	00:00:00	1.15955	1.15956	1.15849	1.15943	2099	0	6
2021.10.27	02:00:00	1.15944	1.16043	1.15937	1.16024	2911	0	1
2021.10.27	04:00:00	1.16024	1.16044	1.15977	1.15989	2973	0	50
2021.10.27	06:00:00	1.15989	1.16050	1.15984	1.16033	1906	0	50
2021.10.27	08:00:00	1.16033	1.16080	1.15951	1.16061	3830	0	50
2021.10.27	10:00:00	1.16061	1.16133	1.15920	1.15950	9055	0	50
2021.10.27	12:00:00	1.15949	1.15973	1.15848	1.15944	7008	0	50
2021.10.27	14:00:00	1.15943	1.16257	1.15938	1.16181	8005	0	50
2021.10.27	16:00:00	1.16179	1.16240	1.15952	1.15974	12950	0	50
2021.10.27	18:00:00	1.15974	1.16094	1.15881	1.16087	7595	0	50
2021.10.27	20:00:00	1.16087	1.16161	1.16077	1.16089	4383	0	50
2021.10.27	22:00:00	1.16090	1.16092	1.15984	1.16026	3838	0	4
2021.10.28	00:00:00	1.16023	1.16047	1.16003	1.16020	1003	0	8
2021.10.28	02:00:00	1.16022	1.16024	1.15901	1.15925	2857	0	1
2021.10.28	04:00:00	1.15925	1.16097	1.15893	1.16090	4856	0	50
2021.10.28	06:00:00	1.16090	1.16090	1.16030	1.16067	2588	0	2
2021.10.28	08:00:00	1.16067	1.16078	1.15963	1.15980	4770	0	50
2021.10.28	10:00:00	1.15983	1.16142	1.15831	1.15902	9264	0	50
2021.10.28	12:00:00	1.15902	1.16071	1.15824	1.16063	6912	0	50
2021.10.28	14:00:00	1.16065	1.16358	1.15829	1.16300	14926	0	3
2021.10.28	16:00:00	1.16300	1.16866	1.16243	1.16758	18466	0	50
2021.10.28	18:00:00	1.16756	1.16920	1.16746	1.16783	8306	0	50
2021.10.28	20:00:00	1.16783	1.16891	1.16714	1.16837	4702	0	1
2021.10.28	22:00:00	1.16837	1.16847	1.16780	1.16801	4164	0	1
2021.10.29	00:00:00	1.16781	1.16838	1.16773	1.16838	2459	0	7
2021.10.29	02:00:00	1.16837	1.16901	1.16799	1.16842	4231	0	1
2021.10.29	04:00:00	1.16842	1.16861	1.16731	1.16757	5577	0	1
2021.10.29	06:00:00	1.16758	1.16776	1.16642	1.16645	3456	0	1
2021.10.29	08:00:00	1.16645	1.16739	1.16582	1.16629	6166	0	50
2021.10.29	10:00:00	1.16629	1.16758	1.16490	1.16505	9636	0	50
2021.10.29	12:00:00	1.16511	1.16568	1.16449	1.16531	8500	0	50
2021.10.29	14:00:00	1.16529	1.16544	1.16212	1.16257	9861	0	50
2021.10.29	16:00:00	1.16258	1.16358	1.15652	1.15712	15119	0	50
2021.10.29	18:00:00	1.15712	1.15773	1.15353	1.15387	11694	0	50
2021.10.29	20:00:00	1.15387	1.15626	1.15380	1.15589	2816	0	1
2021.10.29	22:00:00	1.15589	1.15629	1.15521	1.15620	2654	0	1
