Gmt time,Open,High,Low,Close,Volume
21.07.2019 00:00:00.000,1.12150,1.12197,1.12140,1.12175,9741.04
22.07.2019 00:00:00.000,1.12175,1.12253,1.12037,1.12042,227157.25
23.07.2019 00:00:00.000,1.12042,1.12080,1.11457,1.11508,268169.2813
24.07.2019 00:00:00.000,1.11508,1.11558,1.11269,1.11419,271736.0313
25.07.2019 00:00:00.000,1.11420,1.11877,1.11013,1.11448,359874.9375
26.07.2019 00:00:00.000,1.11447,1.11509,1.11120,1.11247,260348.6719
28.07.2019 00:00:00.000,1.11246,1.11325,1.11223,1.11295,5727.46
29.07.2019 00:00:00.000,1.11295,1.11509,1.11128,1.11423,232842.4844
30.07.2019 00:00:00.000,1.11424,1.11610,1.11321,1.11568,277029.625
31.07.2019 00:00:00.000,1.11568,1.11620,1.10600,1.10715,355194.8125
01.08.2019 00:00:00.000,1.10715,1.10958,1.10268,1.10788,467627.9375
02.08.2019 00:00:00.000,1.10789,1.11164,1.10696,1.11057,464104.9688
04.08.2019 00:00:00.000,1.11042,1.11138,1.11033,1.11075,12836.5898
05.08.2019 00:00:00.000,1.11079,1.12453,1.11064,1.12418,476043.9688
06.08.2019 00:00:00.000,1.12418,1.12497,1.11675,1.12054,417917.6875
07.08.2019 00:00:00.000,1.12053,1.12417,1.11791,1.12039,451342.6563
08.08.2019 00:00:00.000,1.12038,1.12323,1.11769,1.11861,340913.9375
09.08.2019 00:00:00.000,1.11861,1.12229,1.11833,1.11969,284956.7813
11.08.2019 00:00:00.000,1.11978,1.12080,1.11967,1.12073,7072.96
12.08.2019 00:00:00.000,1.12074,1.12306,1.11619,1.12162,319337.125
13.08.2019 00:00:00.000,1.12162,1.12285,1.11698,1.11764,377049.5313
14.08.2019 00:00:00.000,1.11764,1.11908,1.11305,1.11428,345279.3125
15.08.2019 00:00:00.000,1.11428,1.11583,1.10913,1.11103,416591.3125
16.08.2019 00:00:00.000,1.11105,1.11113,1.10662,1.10899,239920.6719
18.08.2019 00:00:00.000,1.10925,1.11010,1.10895,1.10919,7217.0298
19.08.2019 00:00:00.000,1.10918,1.11137,1.10760,1.10814,198728.5156
20.08.2019 00:00:00.000,1.10816,1.11066,1.10655,1.10972,202915.2969
21.08.2019 00:00:00.000,1.10970,1.11070,1.10804,1.10901,170929.5156
22.08.2019 00:00:00.000,1.10903,1.11130,1.10635,1.10836,215750.5625
23.08.2019 00:00:00.000,1.10835,1.11532,1.10516,1.11360,234770.3125
25.08.2019 00:00:00.000,1.11507,1.11639,1.11393,1.11433,15735.2402
26.08.2019 00:00:00.000,1.11433,1.11529,1.10942,1.11013,276142.375
27.08.2019 00:00:00.000,1.11012,1.11159,1.10855,1.10893,211976.9688
28.08.2019 00:00:00.000,1.10894,1.10978,1.10733,1.10855,211311
29.08.2019 00:00:00.000,1.10856,1.10930,1.10419,1.10589,208781.8438
30.08.2019 00:00:00.000,1.10589,1.10599,1.09632,1.09880,165279.2969
01.09.2019 00:00:00.000,1.09893,1.09962,1.09831,1.09904,3345.29
02.09.2019 00:00:00.000,1.09903,1.09931,1.09580,1.09641,46117.5
03.09.2019 00:00:00.000,1.09641,1.09786,1.09260,1.09725,134828.6719
04.09.2019 00:00:00.000,1.09725,1.10383,1.09715,1.10347,161293.5938
05.09.2019 00:00:00.000,1.10346,1.10847,1.10166,1.10340,173375.1719
06.09.2019 00:00:00.000,1.10340,1.10572,1.10201,1.10250,155127.7188
08.09.2019 00:00:00.000,1.10260,1.10275,1.10195,1.10201,3734.6001
09.09.2019 00:00:00.000,1.10202,1.10680,1.10153,1.10469,134493.75
10.09.2019 00:00:00.000,1.10469,1.10595,1.10305,1.10501,131830.0156
