Local time,Open,High,Low,Close,Volume
26.01.2015 09:30:00.000 GMT+0530,1.11757,1.12424,1.11713,1.12380,22947.0398
26.01.2015 13:30:00.000 GMT+0530,1.12379,1.12615,1.12153,1.12244,39813.460399999996
26.01.2015 17:30:00.000 GMT+0530,1.12243,1.12851,1.12215,1.12555,41741.79
26.01.2015 21:30:00.000 GMT+0530,1.12555,1.12954,1.12555,1.12666,29628.1299
27.01.2015 01:30:00.000 GMT+0530,1.12666,1.12690,1.12324,1.12496,14127.0102
27.01.2015 05:30:00.000 GMT+0530,1.12496,1.12583,1.12318,1.12363,13610.499900000003
27.01.2015 09:30:00.000 GMT+0530,1.12369,1.12544,1.12237,1.12493,15807.1099
27.01.2015 13:30:00.000 GMT+0530,1.12494,1.13453,1.12413,1.12742,50951.1397
27.01.2015 17:30:00.000 GMT+0530,1.12741,1.14225,1.12741,1.14014,57288.149399999995
27.01.2015 21:30:00.000 GMT+0530,1.14015,1.14039,1.13333,1.13694,30063.4893
28.01.2015 01:30:00.000 GMT+0530,1.13697,1.13828,1.13610,1.13678,12015.3701
28.01.2015 05:30:00.000 GMT+0530,1.13678,1.13678,1.13305,1.13401,16068.8399
28.01.2015 09:30:00.000 GMT+0530,1.13402,1.13821,1.13327,1.13447,19408.349700000002
28.01.2015 13:30:00.000 GMT+0530,1.13447,1.13810,1.13265,1.13572,35093.2305
28.01.2015 17:30:00.000 GMT+0530,1.13573,1.13661,1.13069,1.13396,39072.6899
28.01.2015 21:30:00.000 GMT+0530,1.13405,1.13694,1.13056,1.13084,44889.2393
29.01.2015 01:30:00.000 GMT+0530,1.13085,1.13152,1.12725,1.12830,21305.5202
29.01.2015 05:30:00.000 GMT+0530,1.12829,1.12960,1.12738,1.12757,14061.3598
29.01.2015 09:30:00.000 GMT+0530,1.12757,1.13046,1.12619,1.12887,20610.7405
29.01.2015 13:30:00.000 GMT+0530,1.12888,1.13274,1.12654,1.13111,39044.8291
29.01.2015 17:30:00.000 GMT+0530,1.13111,1.13678,1.12930,1.13370,50523.9296
